v / Ch.,rounds,t LR / 10ms,N LR,rel delta N LR,Counting Rate LR,delta Counting Rate LR,rel delta Counting Rate LR,t RL / 10ms,N RL,delta N RL,Counting Rate RL,delta Counting Rate RL,rel delta Counting Rate RL
2.12,2,792,5058,0.0140608180203199,638.636363636364,8.97974969024977,0.0140608180203199,842,5029,0.014101300975535,597.268408551069,8.42226159215743,0.014101300975535
2.08,2,806,4975,0.0141776241001667,617.245657568238,8.75107691046271,0.0141776241001667,858,5312,0.0137205324987113,619.114219114219,8.49457676377091,0.0137205324987113
2.04,2,820,4971,0.0141833270867611,606.219512195122,8.59820962784016,0.0141833270867611,874,5426,0.0135756335132347,620.823798627002,8.42807636645442,0.0135756335132347
2,2,836,5081,0.014028957596691,607.775119617225,8.52645138143384,0.014028957596691,892,5419,0.0135843988542386,607.511210762332,8.25267459541692,0.0135843988542386
1.96,2,854,5219,0.0138422392574493,611.124121779859,8.45932630967541,0.0138422392574493,912,5208,0.0138568498868423,571.052631578947,7.91299059327575,0.0138568498868423
1.94,2,862,5110,0.0139890927598133,592.807424593968,8.29283805135105,0.0139890927598133,920,5139,0.0139495658439562,558.586956521739,7.79204552957512,0.0139495658439562
1.92,2,869,5249,0.0138026257852391,604.027617951669,8.33716717453623,0.0138026257852391,929,5139,0.0139495658439562,553.175457481163,7.71655746739409,0.0139495658439562
1.90,2,879,5199,0.0138688385119141,591.467576791809,8.20296830755875,0.0138688385119141,940,5171,0.0139063364056057,550.106382978723,7.6499644205731,0.0139063364056057
1.88,2,887,5128,0.0139645193369486,578.128523111612,8.07328694023367,0.0139645193369486,950,5153,0.0139306034192456,542.421052631579,7.55625257046026,0.0139306034192456
1.86,2,897,5112,0.0139863559716115,569.899665551839,7.97081959051036,0.0139863559716115,961,5164,0.0139157584997844,537.35691987513,7.47772912517031,0.0139157584997844
1.84,2,907,4973,0.0141804747333714,548.291069459757,7.77502765700727,0.0141804747333714,973,5202,0.013864838846795,534.635149023638,7.412630183045,0.0138648388467951
1.82,2,916,4999,0.0141435500494607,545.742358078603,7.71873435559543,0.0141435500494607,984,5391,0.0136196307740906,547.865853658537,7.46173064056123,0.0136196307740906
1.8,2,925,5053,0.0140677729685715,546.27027027027,7.68480614164234,0.0140677729685715,994,5440,0.013558153613666,547.28370221328,7.42015650486349,0.013558153613666
