kick x /mrad,ix / A,x/ mm,sigma_x / mm,error / mm
0,0,3.83,1.69,0.01
4.9,0.016,5.56,1.72,0.01
7.5,0.024,6.5,1.75,0.01
9,0.03,7.05,1.76,0.01
18.2,0.059,10.3,1.72,0.01
23,0.076,11.95,1.7,0.01
24.6,0.079,12.26,1.67,0.01
-9,-0.03,0.75,2.02,0.01
-14.8,-0.049,-3.21,1.71,0.03
-37.1,-0.122,-10.91,1.82,0.01
-23,-0.076,-6.13,1.66,0.02
-31.3,-0.102,-8.86,1.73,0.01
