dataset, W_mass / GeV, HM / GeV, HM_error / GeV
MCW75,75,40.17,0.08
MCW78,78,41.78,0.08
MCW79,79,42.21,0.07
MCW80,80,42.73,0.06
MCW81,81,43.47,0.06
MCW82,82,43.81,0.06
MVW85,85,45.5,0.1
ATLAS,0,43.29,0.06
