dataset, W_mass / GeV, HM / GeV, HM_error / GeV
MCW75,75,40.16,0.05
MCW78,78,41.76,0.05
MCW79,79,42.27,0.06
MCW80,80,42.8,0.06
MCW81,81,43.52,0.07
MCW82,82,43.85,0.06
MVW85,85,45.48,0.11
ATLAS,0,43.37,0.08
