dataset, W_mass / GeV, HM / GeV, HM_error / GeV
MCW75,75,40.16,0.05
MCW78,78,41.75,0.05
MCW79,79,42.21,0.05
MCW80,80,42.76,0.05
MCW81,81,43.47,0.05
MCW82,82,43.82,0.05
MVW85,85,45.5,0.06
ATLAS,0,43.31,0.05
