dataset, W_mass / GeV, HM / GeV, HM_error / GeV
MCW75,75,40.2,0.05
MCW78,78,41.8,0.06
MCW79,79,42.29,0.06
MCW80,80,42.8,0.06
MCW81,81,43.52,0.07
MCW82,82,43.85,0.07
MVW85,85,45.49,0.09
ATLAS,0,43.42,0.08
