dataset, W_mass / GeV, HM / GeV, HM_error / GeV
MCW75,75,40.19,0.05
MCW78,78,42.11,0.24
MCW79,79,42.28,0.06
MCW80,80,42.81,0.06
MCW81,81,43.53,0.07
MCW82,82,43.86,0.06
MVW85,85,45.5,0.1
ATLAS,0,43.37,0.08
